Stock,Symbol
Madras Fert,Yearly Results of Madras Fertilizers (in Rs. Cr.)
Maestros,Yearly Results of Maestros Mediline Systems (in Rs. Cr.)
Maestros Elect,Yearly Results of Maestros Electronics & Telecommunications Systems (in Rs. Cr.)
Mafatlal Dyes,Yearly Results of Mafatlal Dyes and Chemicals (in Rs. Cr.)
Mafatlal Ind,Yearly Results of Mafatlal Industries (in Rs. Cr.)
Mafia Trends,Yearly Results of Mafia Trends (in Rs. Cr.)
Magadh Sugar ,Yearly Results of Magadh Sugar & Energy (in Rs. Cr.)
Magellanic,Yearly Results of Magellanic Cloud (in Rs. Cr.)
Magic Trading,Yearly Results of Magic Trading and Agencies (in Rs. Cr.)
Magna Colors,Yearly Results of Magna Colors (in Rs. Cr.)
Magna Electro,Yearly Results of Magna Electro Castings (in Rs. Cr.)
Magna Ind,Yearly Results of Magna Industries and Exports (in Rs. Cr.)
Magnanimous,Yearly Results of Magnanimous Trade & Finance (in Rs. Cr.)
Magnum Fincap,Yearly Results of Magnum Fincap (in Rs. Cr.)
Magnum Ventures,Yearly Results of Magnum Ventures (in Rs. Cr.)
Magnus Plastics,Yearly Results of Magnus Plastics (in Rs. Cr.)
Magnus Rubber,Yearly Results of Magnus Rubber Ind. (in Rs. Cr.)
Magson Retail,Yearly Results of Magson Retail and Distribution (in Rs. Cr.)
Mah Corporation,Yearly Results of Maharashtra Corporation (in Rs. Cr.)
Mah Polybutenes,Yearly Results of Maharashtra Polybutenes (in Rs. Cr.)
Mah Scooters,Yearly Results of Maharashtra Scooters (in Rs. Cr.)
Mah Seamless,Yearly Results of Maharashtra Seamless (in Rs. Cr.)
Maha Rasht Apex,Yearly Results of Maha Rashtra Apex Corporation (in Rs. Cr.)
Maha ShreeUmaid,Yearly Results of Maharaja Shree Umaid Mills (in Rs. Cr.)
Mahaan Foods,Yearly Results of Mahaan Foods (in Rs. Cr.)
Mahalaxmi Rub,Yearly Results of Mahalaxmi Rubtech (in Rs. Cr.)
Mahalaxmi Sm,Yearly Results of Mahalaxmi Seamless (in Rs. Cr.)
Mahamaya Steel,Yearly Results of Mahamaya Steel Industries (in Rs. Cr.)
Mahan Ind,Yearly Results of Mahan Industries (in Rs. Cr.)
Mahanagar Gas,Yearly Results of Mahanagar Gas (in Rs. Cr.)
Mahanivesh,Yearly Results of Mahanivesh (India) (in Rs. Cr.)
Mahasagar Trav,Yearly Results of Mahasagar Travels (in Rs. Cr.)
Mahashree Trad,Yearly Results of Mahashree Trading (in Rs. Cr.)
Mahaveer Info,Yearly Results of Mahaveer Infoway (in Rs. Cr.)
Mahavir Advance,Yearly Results of Indo American Advance Pharmaceuitcals (in Rs. Cr.)
Mahavir Impex,Yearly Results of Mahavir Impex (in Rs. Cr.)
Mahavir Ind,Yearly Results of Mahavir Industries (in Rs. Cr.)
Mahendra Suitin,Yearly Results of Mahendra Suiting (in Rs. Cr.)
Mahesh Agri,Yearly Results of Mahesh Agri Implement and St (in Rs. Cr.)
Maheshwari Logi,Yearly Results of Maheshwari Logistics (in Rs. Cr.)
Mahickra Chemic,Yearly Results of Mahickra Chemicals (in Rs. Cr.)
Mahindra Comp,Yearly Results of Mahindra Composites . (in Rs. Cr.)
Mahindra EPC,Yearly Results of Mahindra EPC Irrigation (in Rs. Cr.)
Mahindra Holida,Yearly Results of Mahindra Holidays and Resorts India (in Rs. Cr.)
Mahindra Life,Yearly Results of Mahindra Lifespace Developers (in Rs. Cr.)
Mahindra Logist,Yearly Results of Mahindra Logistics (in Rs. Cr.)
Mahindra Satyam,Yearly Results of Mahindra Satyam (in Rs. Cr.)
Mahindra Ugine,Yearly Results of Mahindra Ugine Steel Company (in Rs. Cr.)
Mahip Industrie,Yearly Results of Mahip Industries (in Rs. Cr.)
Maiden Forgings,Yearly Results of Maiden Forgings (in Rs. Cr.)
Maithan Alloys,Yearly Results of Maithan Alloys (in Rs. Cr.)
Maitri,Yearly Results of Maitri Enterprises (in Rs. Cr.)
Majestic Auto,Yearly Results of Majestic Auto (in Rs. Cr.)
Majestic Ind,Yearly Results of Majestic Industries (in Rs. Cr.)
Majestic Resear,Yearly Results of Majestic Research Services & Solutions (in Rs. Cr.)
Makers Labs,Yearly Results of Makers Laboratories (in Rs. Cr.)
Maks Energy,Yearly Results of Maks Energy Solutions India (in Rs. Cr.)
Malabar Trading,Yearly Results of Malabar Trading Company (in Rs. Cr.)
Mallcom (India),Yearly Results of Mallcom (India) (in Rs. Cr.)
Malu Paper,Yearly Results of Malu Paper Mills (in Rs. Cr.)
Malvica Engg,Yearly Results of Malvica Engineering (in Rs. Cr.)
Malvika Steel,Yearly Results of Malvika Steel (in Rs. Cr.)
Malwa Cotton,Yearly Results of Malwa Cotton Spg. Mills (in Rs. Cr.)
Man Industries,Yearly Results of Man Industries (India) (in Rs. Cr.)
Man Infra,Yearly Results of Man Infraconstruction (in Rs. Cr.)
Manaksia,Yearly Results of Manaksia (in Rs. Cr.)
Manaksia Alumin,Yearly Results of Manaksia Aluminium Company (in Rs. Cr.)
Manaksia Coated,Yearly Results of Manaksia Coated Metals & Industries (in Rs. Cr.)
Manaksia Steels,Yearly Results of Manaksia Steels (in Rs. Cr.)
Manali Petro,Yearly Results of Manali Petrochemicals (in Rs. Cr.)
Manappuram Fin,Yearly Results of Manappuram Finance (in Rs. Cr.)
Manas Propertie,Yearly Results of Manas Properties (in Rs. Cr.)
Manav Infra Pro,Yearly Results of Manav Infra Projects (in Rs. Cr.)
Manbro Ind,Yearly Results of Manbro Industries (in Rs. Cr.)
Mangal Credit,Yearly Results of Mangal Credit and Fincorp (in Rs. Cr.)
Mangalam Alloys,Yearly Results of Mangalam Alloys (in Rs. Cr.)
Mangalam Cement,Yearly Results of Mangalam Cement (in Rs. Cr.)
Mangalam Drugs,Yearly Results of Mangalam Drugs & Organics (in Rs. Cr.)
Mangalam Global,Yearly Results of Mangalam Global Enterprise (in Rs. Cr.)
Mangalam Ind,Yearly Results of Mangalam Industrial Finance (in Rs. Cr.)
Mangalam Organ,Yearly Results of Mangalam Organics (in Rs. Cr.)
Mangalam Seeds,Yearly Results of Mangalam Seeds (in Rs. Cr.)
Mangalam Timber,Yearly Results of Mangalam Timber Products (in Rs. Cr.)
Mangalam Vent,Yearly Results of Mangalam Ventures (in Rs. Cr.)
Mangalam World,Yearly Results of Mangalam Worldwide (in Rs. Cr.)
Mangalore Chem,Yearly Results of Mangalore Chemicals and Fertilisers (in Rs. Cr.)
Mangalya Export,Yearly Results of Mangalya Exports (in Rs. Cr.)
Mangalya Soft,Yearly Results of Mangalya Soft Tech (in Rs. Cr.)
Manipal Finance,Yearly Results of Manipal Finance Corporation (in Rs. Cr.)
Maniyar Plast,Yearly Results of Maniyar Plast (in Rs. Cr.)
Manjeera Const,Yearly Results of Manjeera Constructions (in Rs. Cr.)
Manjushree Tech,Yearly Results of Manjushree Technopack (in Rs. Cr.)
Mankind Pharma,Yearly Results of Mankind Pharma (in Rs. Cr.)
Manoj Vaibhav G,Yearly Results of Manoj Vaibhav Gems N Jewellers (in Rs. Cr.)
Manomay Tex Ind,Yearly Results of Manomay Tex India (in Rs. Cr.)
Manorama Indust,Yearly Results of Manorama Industries (in Rs. Cr.)
Manpasand Bever,Yearly Results of Manpasand Beverages (in Rs. Cr.)
Manraj Hsg Fin,Yearly Results of Manraj Housing Finance (in Rs. Cr.)
Mansi Financ,Yearly Results of Mansi Finance (Chennai) (in Rs. Cr.)
Mansoon Trading,Yearly Results of Mansoon Trading Company (in Rs. Cr.)
Manugraph Ind,Yearly Results of Manugraph Industries (in Rs. Cr.)
Maplle Infra,Yearly Results of Maplle Infraprojects (in Rs. Cr.)
Mapro Ind,Yearly Results of Mapro Industries (in Rs. Cr.)
Maral Finance,Yearly Results of Maral Finance (in Rs. Cr.)
Maral Overseas,Yearly Results of Maral Overseas (in Rs. Cr.)
Marathon Realty,Yearly Results of Marathon Nextgen Realty (in Rs. Cr.)
MARBLE CITY IND,Yearly Results of MARBLE CITY INDIA (in Rs. Cr.)
Marco Cables & ,Yearly Results of Marco Cables & Conductors (in Rs. Cr.)
Mardia Samyoung,Yearly Results of Mardia Samyoung Capillary Tubes Co. (in Rs. Cr.)
Marg,Yearly Results of Marg (in Rs. Cr.)
Marg Projects,Yearly Results of Marg Projects and Infrastructure (in Rs. Cr.)
Marg Techno Pro,Yearly Results of Marg Techno Projects (in Rs. Cr.)
Margo Finance,Yearly Results of Margo Finance (in Rs. Cr.)
Marico,Yearly Results of Marico (in Rs. Cr.)
Marico Kaya Ent,Yearly Results of Marico Kaya Enterprises (in Rs. Cr.)
Marine Electric,Yearly Results of Marine Electricals India (in Rs. Cr.)
Marinetrans,Yearly Results of Marinetrans India (in Rs. Cr.)
Maris Spin,Yearly Results of Maris Spinners (in Rs. Cr.)
Market Creat,Yearly Results of Market Creators (in Rs. Cr.)
Markolines,Yearly Results of Markolines Pavement Technologies (in Rs. Cr.)
Marksans Pharma,Yearly Results of Marksans Pharma (in Rs. Cr.)
Marmagoa Steel,Yearly Results of Marmagoa Steel (in Rs. Cr.)
Marshall Machin,Yearly Results of Marshall Machines (in Rs. Cr.)
Marsons,Yearly Results of Marsons (in Rs. Cr.)
Martin Burn Ltd,Yearly Results of Martin Burn (in Rs. Cr.)
Maruti Infra,Yearly Results of Maruti Infrastructure (in Rs. Cr.)
Maruti Interior,Yearly Results of Maruti Interior Products (in Rs. Cr.)
Maruti Sec,Yearly Results of Maruti Securities (in Rs. Cr.)
Maruti Suzuki,Yearly Results of Maruti Suzuki India (in Rs. Cr.)
Marvel Capital,Yearly Results of Marvel Capital and Finance (India) (in Rs. Cr.)
Marvel Decor Lt,Yearly Results of Marvel Decor Ltd (in Rs. Cr.)
Marvel Ind,Yearly Results of Marvel Industries (in Rs. Cr.)
Marvel Vinyls,Yearly Results of Marvel Vinyls (in Rs. Cr.)
MAS Financial S,Yearly Results of MAS Financial Services (in Rs. Cr.)
Mascon Global,Yearly Results of Mascon Global (in Rs. Cr.)
Mask Investment,Yearly Results of Mask Investments (in Rs. Cr.)
Mastek,Yearly Results of Mastek (in Rs. Cr.)
Master Chemical,Yearly Results of Master Chemicals (in Rs. Cr.)
Master Compo.,Yearly Results of Master Components (in Rs. Cr.)
Master Trust,Yearly Results of Master Trust (in Rs. Cr.)
Mather and Plat,Yearly Results of Mather and Platt Fire Systems (in Rs. Cr.)
Mathew Easow,Yearly Results of Mathew Easow Research Securities (in Rs. Cr.)
Matra Kaushal,Yearly Results of Matra Kaushal Enterprise (in Rs. Cr.)
Matra Realty,Yearly Results of Matra Realty (in Rs. Cr.)
Matrimony.com,Yearly Results of Matrimony.com (in Rs. Cr.)
Mauria Udyog,Yearly Results of Mauria Udyog (in Rs. Cr.)
Mavens Biotech,Yearly Results of Mavens Biotech (in Rs. Cr.)
Mawana Sugars,Yearly Results of Mawana Sugars (in Rs. Cr.)
Max Alert Syste,Yearly Results of Max Alert Systems (in Rs. Cr.)
Max Estates,Yearly Results of Max Estates Ltd (in Rs. Cr.)
Max Financial,Yearly Results of Max Financial Services (in Rs. Cr.)
Max Healthcare,Yearly Results of Max Healthcare Institute Limited (in Rs. Cr.)
Max India,Yearly Results of Max India (in Rs. Cr.)
Max Ventures an,Yearly Results of Max Ventures and Industries (in Rs. Cr.)
Maxheights,Yearly Results of Maxheights Infrastructure (in Rs. Cr.)
Maximaa Systems,Yearly Results of Maximaa Systems (in Rs. Cr.)
Maximus Interna,Yearly Results of Maximus International (in Rs. Cr.)
Maya Spinners,Yearly Results of Maya Spinners (in Rs. Cr.)
Mayukh Dealtrad,Yearly Results of Mayukh Dealtrade (in Rs. Cr.)
Mayur Floorings,Yearly Results of Mayur Floorings (in Rs. Cr.)
Mayur Leather,Yearly Results of Mayur Leather Products (in Rs. Cr.)
Mayur Uniquoter,Yearly Results of Mayur Uniquoters (in Rs. Cr.)
Mazagon Dock,Yearly Results of Mazagon Dock Shipbuilders (in Rs. Cr.)
Mazda,Yearly Results of Mazda (in Rs. Cr.)
Mazda Propertie,Yearly Results of Mazda Properties (in Rs. Cr.)
MBL Infra,Yearly Results of MBL Infrastructure (in Rs. Cr.)
McDowell Hold,Yearly Results of McDowell Holdings (in Rs. Cr.)
Mcleod,Yearly Results of Mcleod Russel (India) (in Rs. Cr.)
Mcnally Bh Engg,Yearly Results of Mcnally Bharat Engineering (in Rs. Cr.)
MCON Rasayan,Yearly Results of MCON Rasayan India (in Rs. Cr.)
MCS,Yearly Results of MCS (in Rs. Cr.)
MCX India,Yearly Results of Multi Commodity Exchange of India (in Rs. Cr.)
MD,Yearly Results of Mahesh Developers (in Rs. Cr.)
Medi-Caps,Yearly Results of Medi-Caps (in Rs. Cr.)
Media Matrix,Yearly Results of Media Matrix Worldwide (in Rs. Cr.)
Mediaone Global,Yearly Results of Mediaone Global Entertainment (in Rs. Cr.)
Medicamen Bio,Yearly Results of Medicamen Biotech (in Rs. Cr.)
Medico Intercon,Yearly Results of Medico Intercontinental Limited (in Rs. Cr.)
Medico Remedies,Yearly Results of Medico Remedies (in Rs. Cr.)
Medinova Diag,Yearly Results of Medinova Diagnostic Services (in Rs. Cr.)
Medplus Health,Yearly Results of Medplus Health Services (in Rs. Cr.)
Meenakshi Steel,Yearly Results of Meenakshi Steel Industries (in Rs. Cr.)
Meera Industrie,Yearly Results of Meera Industries (in Rs. Cr.)
Mefcom Agro Ind,Yearly Results of Mefcom Agro Industries (in Rs. Cr.)
Mefcom Capital,Yearly Results of Mefcom Capital Markets (in Rs. Cr.)
Mega Corp,Yearly Results of Mega Corporation (in Rs. Cr.)
Mega Fin,Yearly Results of Mega Fin India (in Rs. Cr.)
Mega Flex,Yearly Results of Mega Flex Plastics (in Rs. Cr.)
Mega Nirman,Yearly Results of Mega Nirman and Industries (in Rs. Cr.)
Megasoft,Yearly Results of Megasoft (in Rs. Cr.)
Megastar Foods,Yearly Results of Megastar Foods (in Rs. Cr.)
Meghmani Organi,Yearly Results of Meghmani Organics (in Rs. Cr.)
Meglon Infra,Yearly Results of Meglon Infra-Real (India) (in Rs. Cr.)
Megri Soft,Yearly Results of Megri Soft (in Rs. Cr.)
Mehai Technolog,Yearly Results of Mehai Technology (in Rs. Cr.)
Mehta Housing,Yearly Results of Mehta Housing Finance (in Rs. Cr.)
Mehta Integrate,Yearly Results of Mehta Integrated Finance (in Rs. Cr.)
Mehta Sec,Yearly Results of Mehta Securities (in Rs. Cr.)
Melstar Info,Yearly Results of Melstar Infotech (in Rs. Cr.)
Meltron Semi,Yearly Results of Meltron Semiconductors (in Rs. Cr.)
Mena Mani Indus,Yearly Results of Mena Mani Industries (in Rs. Cr.)
Menon Bearings,Yearly Results of Menon Bearings (in Rs. Cr.)
Menon Pistons,Yearly Results of Menon Pistons (in Rs. Cr.)
MEP Infra,Yearly Results of MEP Infrastructure Developers (in Rs. Cr.)
Mercantile Vent,Yearly Results of Mercantile Ventures (in Rs. Cr.)
Mercator,Yearly Results of Mercator (in Rs. Cr.)
Mercury Ev-Tech,Yearly Results of Mercury Ev-Tech (in Rs. Cr.)
Mercury Labs,Yearly Results of Mercury Laboratories (in Rs. Cr.)
Mercury Trade,Yearly Results of Mercury Trade Links (in Rs. Cr.)
Mesco Pharma,Yearly Results of Mesco Pharmaceuticals (in Rs. Cr.)
Metal Coatings,Yearly Results of Metal Coatings (India) (in Rs. Cr.)
Metalman Ind,Yearly Results of Metalman Industries (in Rs. Cr.)
Metalyst Forgin,Yearly Results of Metalyst Forgings (in Rs. Cr.)
Metkore Alloys,Yearly Results of Metkore Alloys Industries (in Rs. Cr.)
Metro Brands,Yearly Results of Metro Brands (in Rs. Cr.)
Metrochem,Yearly Results of Metrochem Industries (in Rs. Cr.)
Metroglobal,Yearly Results of Metroglobal (in Rs. Cr.)
Metropoli Overs,Yearly Results of Metropoli Overseas (in Rs. Cr.)
Metropolis,Yearly Results of Metropolis Healthcare (in Rs. Cr.)
Mewar Hi-Tech E,Yearly Results of Mewar Hi-Tech Engineering (in Rs. Cr.)
Mewar Polytex,Yearly Results of Mewar Polytex (in Rs. Cr.)
Meyer Apparel,Yearly Results of Meyer Apparel (in Rs. Cr.)
MFL India,Yearly Results of MFL India (in Rs. Cr.)
MFS Intercorp,Yearly Results of MFS Intercorp (in Rs. Cr.)
MH Mills,Yearly Results of MH Mills and Industries (in Rs. Cr.)
MHAI,Yearly Results of MOUNT HOUSING AND INFRASTRUCTU (in Rs. Cr.)
MIC Electronics,Yearly Results of MIC Electronics (in Rs. Cr.)
Micro Energy,Yearly Results of Micro Energy (India) (in Rs. Cr.)
Micro Forge,Yearly Results of Micro Forge (India) (in Rs. Cr.)
Micro Tech,Yearly Results of Micro Technologies (in Rs. Cr.)
Micropro Soft,Yearly Results of Micropro Software Solutions (in Rs. Cr.)
Microse India,Yearly Results of Microse India (in Rs. Cr.)
Mid India Ind,Yearly Results of Mid India Industries (in Rs. Cr.)
Midas Infra,Yearly Results of Midas Infra Trade (in Rs. Cr.)
Mideast India,Yearly Results of Mideast (India) (in Rs. Cr.)
Mideast Portfol,Yearly Results of Mideast Portfolio Management Services (in Rs. Cr.)
Mideast Steels,Yearly Results of Mideast Integrated Steels (in Rs. Cr.)
Midfield Ind,Yearly Results of Midfield Industries (in Rs. Cr.)
Midland Plastic,Yearly Results of Midland Plastics (in Rs. Cr.)
Midland Polymer,Yearly Results of Midland Polymers (in Rs. Cr.)
Midvalley Enter,Yearly Results of Midvalley Entertainment (in Rs. Cr.)
Midwest Gold,Yearly Results of Midwest Gold (in Rs. Cr.)
Mihijam Vanaspa,Yearly Results of Mihijam Vanaspati (in Rs. Cr.)
Mihika Ind,Yearly Results of Mihika Industries (in Rs. Cr.)
Milestone,Yearly Results of Milestone Global (in Rs. Cr.)
Milestone Furni,Yearly Results of Milestone Furniture (in Rs. Cr.)
Milgrey Finance,Yearly Results of Milgrey Finance & Investments (in Rs. Cr.)
Milk Partners,Yearly Results of Milk Partners India (in Rs. Cr.)
Milk Special,Yearly Results of Milk Specialities (in Rs. Cr.)
Milkfood,Yearly Results of Milkfood (in Rs. Cr.)
Millennium,Yearly Results of Millennium Online Solutions ( India ) (in Rs. Cr.)
Millennium Cybe,Yearly Results of Millennium Cybertech (in Rs. Cr.)
Milton Industri,Yearly Results of Milton Industries (in Rs. Cr.)
Minal Ind,Yearly Results of Minal Industries (in Rs. Cr.)
Minaxi Textiles,Yearly Results of Minaxi Textiles (in Rs. Cr.)
Minda Corp,Yearly Results of Minda Corporation (in Rs. Cr.)
Minda Finance,Yearly Results of Minda Finance (in Rs. Cr.)
Mindpool Techno,Yearly Results of Mindpool Technologies (in Rs. Cr.)
Mindspace REIT,Yearly Results of Mindspace Business Parks REIT (in Rs. Cr.)
Mindteck,Yearly Results of Mindteck (India) (in Rs. Cr.)
Mindtree,Yearly Results of Mindtree (in Rs. Cr.)
Mindvision Cap,Yearly Results of Mindvision Capital (in Rs. Cr.)
Mini Diamonds,Yearly Results of Mini Diamonds (India) (in Rs. Cr.)
Mini Soft,Yearly Results of Mini Soft (in Rs. Cr.)
Minolta Finance,Yearly Results of Minolta Finance (in Rs. Cr.)
Mintage Electro,Yearly Results of Mintage Electro Equipments (in Rs. Cr.)
Mipco Seamless,Yearly Results of Mipco Seamless Rings (Gujarat) (in Rs. Cr.)
Mirc Electronic,Yearly Results of Mirc Electronics (in Rs. Cr.)
Mirza Intl,Yearly Results of Mirza International (in Rs. Cr.)
Mish Designs,Yearly Results of Mish Designs (in Rs. Cr.)
Mishka Exim,Yearly Results of Mishka Exim (in Rs. Cr.)
Mishka Finance,Yearly Results of Mishka Finance and Trading (in Rs. Cr.)
Mishra Dhatu,Yearly Results of Mishra Dhatu Nigam (in Rs. Cr.)
Mishtann Foods,Yearly Results of Mishtann Foods (in Rs. Cr.)
Misquita Engine,Yearly Results of Misquita Engineering (in Rs. Cr.)
Mitcon Cons,Yearly Results of Mitcon Consultancy and Engineering Services (in Rs. Cr.)
Mitshi India,Yearly Results of Mitshi India (in Rs. Cr.)
Mitsu Chem Plas,Yearly Results of Mitsu Chem Plast (in Rs. Cr.)
Mittal Life Sty,Yearly Results of Mittal Life Style (in Rs. Cr.)
Miven Machine,Yearly Results of Miven Machine Tools (in Rs. Cr.)
MK Exim,Yearly Results of MK Exim India (in Rs. Cr.)
MKVENTURES CAP,Yearly Results of MKVENTURES CAPITAL (in Rs. Cr.)
MM Forgings,Yearly Results of MM Forgings (in Rs. Cr.)
MM Rubber,Mar '23
MMP Industries,Yearly Results of MMP Industries (in Rs. Cr.)
MMS Infra,Yearly Results of MMS Infrastructure (in Rs. Cr.)
MMTC Ltd,Yearly Results of MMTC (in Rs. Cr.)
Mobile Tele,Yearly Results of Mobile Telecommunication (in Rs. Cr.)
Model Fin Corp,Yearly Results of Model Financial Corporation (in Rs. Cr.)
Modella Woollen,Yearly Results of Modella Woollens (in Rs. Cr.)
Modern Dairies,Yearly Results of Modern Dairies (in Rs. Cr.)
Modern Denim,Yearly Results of Modern Denim (in Rs. Cr.)
Modern Eng.,Yearly Results of Modern Engineering and Products (in Rs. Cr.)
Modern Home,Yearly Results of Modern Home Credit and Capital (in Rs. Cr.)
Modern India,Yearly Results of Modern India (in Rs. Cr.)
Modern Insulato,Yearly Results of Modern Insulators (in Rs. Cr.)
Modern Malleabl,Yearly Results of Modern Malleables (in Rs. Cr.)
Modern Steels,Yearly Results of Modern Steels (in Rs. Cr.)
Modern Syntex,Yearly Results of Modern Syntex (India) (in Rs. Cr.)
Modern Terry,Yearly Results of Modern Terry Towels (in Rs. Cr.)
Modern Thread,Yearly Results of Modern Thread (India) (in Rs. Cr.)
Modex Intl Sec,Yearly Results of Modex International Securities (in Rs. Cr.)
Modi Hoover,Yearly Results of Modi Hoover (in Rs. Cr.)
Modi Naturals,Yearly Results of Modi Naturals (in Rs. Cr.)
Modi Rubber,Yearly Results of Modi Rubber (in Rs. Cr.)
Modi's Navnirma,Yearly Results of Modi's Navnirman (in Rs. Cr.)
Modipon,Yearly Results of Modipon (in Rs. Cr.)
Modison,Yearly Results of Modison (in Rs. Cr.)
Modistone,Yearly Results of Modistone (in Rs. Cr.)
Modulex Constru,Yearly Results of Modulex Construction Technologies Limited (in Rs. Cr.)
Moh Granites,Yearly Results of Moh Granites (in Rs. Cr.)
Mohatta and Hec,Yearly Results of Mohatta and Heckel (in Rs. Cr.)
Mohini Health &,Yearly Results of Mohini Health & Hygiene (in Rs. Cr.)
Mohit Ind,Yearly Results of Mohit Industries (in Rs. Cr.)
Mohit Paper Mil,Yearly Results of Mohit Paper Mills (in Rs. Cr.)
Mohite Ind,Yearly Results of Mohite Industries (in Rs. Cr.)
Mohota Ind,Yearly Results of Mohota Industries (in Rs. Cr.)
MOIL,Yearly Results of MOIL (in Rs. Cr.)
Moksh Ornaments,Yearly Results of Moksh Ornaments ltd (in Rs. Cr.)
Mold Tek Tech,Yearly Results of Mold Tek Technologies (in Rs. Cr.)
Mold-Tek Pack,Yearly Results of Mold-Tek Packaging (in Rs. Cr.)
Monarch Net,Yearly Results of Monarch Networth Capital (in Rs. Cr.)
Moneshi Ind,Yearly Results of Moneshi Industries (in Rs. Cr.)
Money Masters,Yearly Results of Money Masters Leasing and Finance (in Rs. Cr.)
Moneyboxx Finan,Yearly Results of Moneyboxx Finance (in Rs. Cr.)
Monica Elec,Yearly Results of Monica Electronics (in Rs. Cr.)
MONIND,Yearly Results of MONIND (in Rs. Cr.)
Mono Pharmacare,Yearly Results of Mono Pharmacare (in Rs. Cr.)
Monotype India ,Yearly Results of Monotype India (in Rs. Cr.)
Monozyme,Yearly Results of Monozyme India (in Rs. Cr.)
Monsanto India,Yearly Results of Monsanto India (in Rs. Cr.)
Montari Leather,Yearly Results of Montari Leather (in Rs. Cr.)
Monte Carlo,Yearly Results of Monte Carlo Fashions (in Rs. Cr.)
Moonbeam Ind,Yearly Results of Moonbeam Industries (in Rs. Cr.)
Moongipa Capita,Yearly Results of Moongipa Capital Finance (in Rs. Cr.)
Morarjee Text,Yearly Results of Morarjee Textiles (in Rs. Cr.)
Morarka Finance,Yearly Results of Morarka Finance (in Rs. Cr.)
Morepen Lab,Yearly Results of Morepen Laboratories (in Rs. Cr.)
Morgan Ind,Yearly Results of Morgan Industries (in Rs. Cr.)
Morgan Ventures,Yearly Results of Morgan Ventures (in Rs. Cr.)
Morganite India,Yearly Results of Morganite Crucible (India) (in Rs. Cr.)
MOS Utility,Yearly Results of MOS Utility (in Rs. Cr.)
Moschip Tech,Yearly Results of Moschip Technologies (in Rs. Cr.)
Moser Baer,Yearly Results of Moser Baer (India) (in Rs. Cr.)
Mother Mira Fin,Yearly Results of Mother Mira Finance Investments (in Rs. Cr.)
MOTHERSON,Yearly Results of Samvardhana Motherson International (in Rs. Cr.)
Motherson SWI,Yearly Results of Motherson Sumi Wiring India (in Rs. Cr.)
Moti Protein,Yearly Results of Moti Protein Industries (in Rs. Cr.)
Motilal Oswal,Yearly Results of Motilal Oswal Financial Services (in Rs. Cr.)
Motisons Jewell,Yearly Results of Motisons Jewellers (in Rs. Cr.)
Motor and Gen F,Yearly Results of Motor and General Finance (in Rs. Cr.)
Motorol Oils,Yearly Results of Motorol Speciality Oils (in Rs. Cr.)
Mount Everest,Yearly Results of Mount Everest Mineral Water (in Rs. Cr.)
Mount Shivalik,Yearly Results of Mount Shivalik Industries (in Rs. Cr.)
Movilex Irrigat,Yearly Results of Movilex Irrigation (in Rs. Cr.)
Moving Picture,Yearly Results of Moving Picture Company (in Rs. Cr.)
Moxsh Overseas,Yearly Results of Moxsh Overseas Educon (in Rs. Cr.)
MP Agro,Yearly Results of MP Agro Morarji Fertilisers (in Rs. Cr.)
MP Agro Fert,Yearly Results of M P Agro Fertilisers (in Rs. Cr.)
MP Telelinks,Mar '10
MPDL,Yearly Results of MPDL LIMITED (in Rs. Cr.)
MphasiS,Yearly Results of MphasiS (in Rs. Cr.)
MPIL Corp,Yearly Results of MPIL Corporation (in Rs. Cr.)
MPL Plastics,Yearly Results of MPL Plastics (in Rs. Cr.)
MPS,Yearly Results of MPS (in Rs. Cr.)
MRC Agrotech,Yearly Results of MRC Agrotech (in Rs. Cr.)
MRF,Yearly Results of MRF (in Rs. Cr.)
MRO-TEK,Yearly Results of MRO-TEK Realty (in Rs. Cr.)
MRP Agro,Yearly Results of MRP Agro (in Rs. Cr.)
MRPL,Yearly Results of Mangalore Refinery and Petrochemicals (in Rs. Cr.)
Mrugesh Trad,Yearly Results of Mrugesh Trading (in Rs. Cr.)
MSL Industries,Yearly Results of MSL Industries (in Rs. Cr.)
MSP Steel,Yearly Results of MSP Steel & Power (in Rs. Cr.)
MSR India,Yearly Results of MSR India (in Rs. Cr.)
MSTC,Yearly Results of MSTC (in Rs. Cr.)
MT Educare,Yearly Results of MT Educare (in Rs. Cr.)
MTAR Tech,Yearly Results of MTAR Technologies (in Rs. Cr.)
MTNL,Yearly Results of Mahanagar Telephone Nigam (in Rs. Cr.)
MTZ India,Yearly Results of MTZ India (in Rs. Cr.)
MTZ Polyesters,Yearly Results of MTZ Polyesters (in Rs. Cr.)
Mudit Finlease,Yearly Results of Mudit Finlease (in Rs. Cr.)
Mudra Financial,Yearly Results of Mudra Financial Services Ltd. (in Rs. Cr.)
Mudunuru,Yearly Results of Mudunuru (in Rs. Cr.)
Mufin Green,Yearly Results of Mufin Green Finance (in Rs. Cr.)
Mukand,Yearly Results of Mukand (in Rs. Cr.)
Mukat Pipes,Yearly Results of Mukat Pipes (in Rs. Cr.)
Mukerian Papers,Yearly Results of Mukerian Papers (in Rs. Cr.)
Mukesh Babu Fin,Yearly Results of Mukesh Babu Financial Services (in Rs. Cr.)
Mukesh Steels,Yearly Results of Mukesh Steels (in Rs. Cr.)
